Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
3.6082115510464816,2.862200880929469,2.5877640352277083,2.87919845729804,2.211565694606877,2.975529566236472,3.5115454388310208,5.8664680569332965,1.4747630091074988,2.862200880929469,4.135166556742356
4.100989104940769,3.8088822465086327,2.747270914255491,2.4159137783010487,2.639057329615259,2.766319109226186,3.5115454388310208,6.001414877961151,2.517696472610991,3.493472657771326,3.0204248861443626
4.304065093204169,4.428433007488037,3.1822118404966093,2.6741486494265287,0.8285518175661483,1.9213246735826988,2.5494451709255714,6.270988431858299,2.6878474937846906,3.387774361330014,3.1822118404966093
3.5467396869528134,3.0349529867072724,1.8229350866965048,2.373043556642607,3.250374491927572,3.0955776085237074,3.852273001022372,5.723585101952381,1.7334238922150915,3.284663565406204,4.410371107683024
2.9856819377004897,1.55814461804655,2.923161580719156,3.139832617527748,2.476538400117484,2.5572273113676265,3.284663565406204,6.415096959171596,2.6878474937846906,3.914021008090819,4.074141854904581
3.8264651170664994,3.624340932976365,2.4336133554004498,4.890349128221754,2.8507065015037334,2.2679936482244267,2.9391619220655967,6.728628613084702,2.772588722239781,3.6082115510464816,2.9496883350525844
3.879499813722586,2.772588722239781,2.747270914255491,3.449987545831587,2.917770732084279,3.054001181677967,3.835141961092188,6.1463292576688975,2.0068708488450007,3.2347491740244907,3.044522437723423
4.653960350157523,4.135166556742356,2.451005098112319,3.0955776085237074,3.756538102587751,2.525728644308256,3.198673117550681,6.100318952020064,3.407841924380824,4.127134385045092,3.269568939183719
3.0955776085237074,3.1135153092103742,1.0577902941478543,5.327876168789581,3.7999735016195233,2.653241964607215,4.912654885736052,5.365976015021851,2.747270914255491,3.3214324131932926,4.624972813284271
2.856470206220483,2.856470206220483,2.740840023925201,2.8903717578961645,2.501435951739211,3.131136910560194,3.572345637857985,6.1092475827643655,3.0633909220278057,3.8264651170664994,3.2228678461377385
4.321480134805848,3.173878458937465,2.1400661634962708,2.803360380906535,3.3032169733019514,3.086486636822455,3.624340932976365,5.966146739123692,3.493472657771326,4.276666119016055,3.597312260588446
4.455509411433685,3.703768066607687,2.2925347571405443,4.188138441508461,2.5416019934645457,2.0373166153791646,2.580216829592325,6.270988431858299,2.9391619220655967,3.8088822465086327,4.77912349311153
3.632309102625542,3.407841924380824,1.791759469228055,2.3085671646715933,2.803360380906535,2.9391619220655967,2.9391619220655967,5.993961427306569,2.747270914255491,3.747148362237912,5.0238805208462765
3.407841924380824,3.2228678461377385,2.4159137783010487,2.833213344056216,3.8628327612373754,2.2844211223663744,2.1077860146889784,6.2166061010848646,2.373043556642607,3.0007198150650303,2.187174241482718
3.9318256327243257,2.694627180770069,2.5572273113676265,2.653241964607215,2.509599262378372,2.9496883350525844,3.3638415951183864,5.973809611869261,4.046553898385752,4.356708826689592,0.6931471805599453
3.3032169733019514,3.3214324131932926,3.104586678466073,2.476538400117484,2.7536607123542622,2.3085671646715933,3.6609942506244,4.499809670330265,3.713572066704308,4.197201947661808,0.8837675401685949
3.703768066607687,3.6686767467964168,2.4423470353692043,4.534747721691546,3.1654750481410856,3.353406717825807,3.475067230228611,5.41164605185504,2.862200880929469,3.459466289786131,2.1564025828159643
3.449987545831587,3.0349529867072724,2.1400661634962708,4.897839799950911,2.815408719422709,3.0007198150650303,3.616308761279101,5.768320995793772,3.2228678461377385,3.6428355156125294,2.9014215940827497
3.914021008090819,2.862200880929469,2.660259537265861,4.955827057601261,3.284663565406204,3.4688560301359703,4.144720769547168,6.566672429803241,2.7212954278522306,3.3463891451671604,3.139832617527748
3.676300671907076,2.2925347571405443,2.509599262378372,4.463606621666305,2.9391619220655967,2.5726122302071057,3.6082115510464816,6.738152494595957,2.5649493574615367,3.380994674344636,3.086486636822455
